DayDummy,Date,Hour,semesterBool,TMAX,TMIN,kW
0,26,23,1,72,41,2
0,27,0,1,73,45,1
0,27,1,1,73,45,1
0,27,2,1,73,45,1
0,27,3,1,73,45,1
0,27,4,1,73,45,1
0,27,5,1,73,45,1
0,27,6,1,73,45,1
0,27,7,1,73,45,1
0,27,8,1,73,45,1
0,27,9,1,73,45,1
0,27,10,1,73,45,2
0,27,11,1,73,45,2
0,27,12,1,73,45,2
0,27,13,1,73,45,2
0,27,14,1,73,45,2
0,27,15,1,73,45,2
0,27,16,1,73,45,2
0,27,17,1,73,45,2
0,27,18,1,73,45,2
0,27,19,1,73,45,2
0,27,20,1,73,45,2
0,27,21,1,73,45,1
0,27,22,1,73,45,2
0,27,23,1,73,45,2
1,28,0,1,72,47,2
1,28,1,1,72,47,1
1,28,2,1,72,47,1
1,28,3,1,72,47,1
1,28,4,1,72,47,1
1,28,5,1,72,47,1
1,28,6,1,72,47,1
1,28,7,1,72,47,1
1,28,8,1,72,47,2
1,28,9,1,72,47,3
1,28,10,1,72,47,3
1,28,11,1,72,47,3
1,28,12,1,72,47,3
1,28,13,1,72,47,3
1,28,14,1,72,47,3
1,28,15,1,72,47,3
1,28,16,1,72,47,3
1,28,17,1,72,47,3
1,28,18,1,72,47,3
1,28,19,1,72,47,3
1,28,20,1,72,47,2
1,28,21,1,72,47,2
1,28,22,1,72,47,2
1,28,23,1,72,47,2
1,29,0,1,71,51,2
1,29,1,1,71,51,1
1,29,2,1,71,51,1
1,29,3,1,71,51,1
1,29,4,1,71,51,1
1,29,5,1,71,51,2
1,29,6,1,71,51,1
1,29,7,1,71,51,2
1,29,8,1,71,51,2
1,29,9,1,71,51,3
1,29,10,1,71,51,3
1,29,11,1,71,51,3
1,29,12,1,71,51,3
1,29,13,1,71,51,3
1,29,14,1,71,51,3
1,29,15,1,71,51,3
1,29,16,1,71,51,3
1,29,17,1,71,51,3
1,29,18,1,71,51,3
1,29,19,1,71,51,3
1,29,20,1,71,51,3
1,29,21,1,71,51,2
1,29,22,1,71,51,3
1,29,23,1,71,51,2
1,30,0,1,74,55,1
1,30,1,1,74,55,1
1,30,2,1,74,55,2
1,30,3,1,74,55,1
1,30,4,1,74,55,1
1,30,5,1,74,55,2
1,30,6,1,74,55,2
1,30,7,1,74,55,2
1,30,8,1,74,55,2
1,30,9,1,74,55,3
1,30,10,1,74,55,3
1,30,11,1,74,55,3
1,30,12,1,74,55,3
1,30,13,1,74,55,3
1,30,14,1,74,55,3
1,30,15,1,74,55,3
1,30,16,1,74,55,3
1,30,17,1,74,55,3
1,30,18,1,74,55,3
1,30,19,1,74,55,3
1,30,20,1,74,55,3
1,30,21,1,74,55,3
1,30,22,1,74,55,2
1,30,23,1,74,55,2
1,31,0,1,73,51,2
1,31,1,1,73,51,1
1,31,2,1,73,51,1
1,31,3,1,73,51,1
1,31,4,1,73,51,1
1,31,5,1,73,51,1
1,31,6,1,73,51,2
