kW,DayDummy,Date,Hour,semesterBool,TMAX,TMIN
603.1142578,1,23,13,1,62,38
633.9140015,1,23,14,1,62,38
591.510498,1,23,15,1,62,38
625.6929932,1,23,16,1,62,38
591.4754944,1,23,17,1,62,38
569.435257,1,23,18,1,62,38
563.9470062,1,23,19,1,62,38
548.7174988,1,23,20,1,62,38
539.665741,1,23,21,1,62,38
525.8182526,1,23,22,1,62,38
532.5422516,1,23,23,1,62,38
491.9587479,1,24,0,1,69,39
496.0169983,1,24,1,1,69,39
486.8082504,1,24,2,1,69,39
480.5992508,1,24,3,1,69,39
473.6405029,1,24,4,1,69,39
492.8404922,1,24,5,1,69,39
505.6485062,1,24,6,1,69,39
510.573494,1,24,7,1,69,39
537.8877563,1,24,8,1,69,39
562.185257,1,24,9,1,69,39
602.8815002,1,24,10,1,69,39
617.1990051,1,24,11,1,69,39
619.7662506,1,24,12,1,69,39
617.0422516,1,24,13,1,69,39
603.2205048,1,24,14,1,69,39
613.5579987,1,24,15,1,69,39
623.1147461,1,24,16,1,69,39
615.0272369,1,24,17,1,69,39
576.02948,1,24,18,1,69,39
579.8557587,1,24,19,1,69,39
546.2815094,1,24,20,1,69,39
528.2819977,1,24,21,1,69,39
530.1654816,1,24,22,1,69,39
514.1077499,1,24,23,1,69,39
505.8242493,1,25,0,1,69,40
486.9487534,1,25,1,1,69,40
487.0317459,1,25,2,1,69,40
502.1814957,1,25,3,1,69,40
499.3975067,1,25,4,1,69,40
473.3552551,1,25,5,1,69,40
495.6634979,1,25,6,1,69,40
498.2215042,1,25,7,1,69,40
552.4710083,1,25,8,1,69,40
574.9850006,1,25,9,1,69,40
604.4819946,1,25,10,1,69,40
622.9324951,1,25,11,1,69,40
606.232254,1,25,12,1,69,40
619.0904999,1,25,13,1,69,40
606.5062408,1,25,14,1,69,40
607.4670105,1,25,15,1,69,40
576.4817505,1,25,16,1,69,40
556.736496,1,25,17,1,69,40
557.8012695,1,25,18,1,69,40
544.3777618,1,25,19,1,69,40
523.1254959,1,25,20,1,69,40
514.3422394,1,25,21,1,69,40
527.4922485,1,25,22,1,69,40
512.9252548,1,25,23,1,69,40
482.0922546,0,26,0,1,72,41
469.366745,0,26,1,1,72,41
475.2490005,0,26,2,1,72,41
492.6487579,0,26,3,1,72,41
475.3062515,0,26,4,1,72,41
479.2812424,0,26,5,1,72,41
475.6387482,0,26,6,1,72,41
482.6884995,0,26,7,1,72,41
493.046257,0,26,8,1,72,41
504.1825027,0,26,9,1,72,41
514.8129807,0,26,10,1,72,41
536.4407349,0,26,11,1,72,41
536.5542603,0,26,12,1,72,41
528.3012543,0,26,13,1,72,41
526.5522461,0,26,14,1,72,41
522.9324951,0,26,15,1,72,41
524.8142548,0,26,16,1,72,41
536.3297577,0,26,17,1,72,41
520.3945007,0,26,18,1,72,41
535.661499,0,26,19,1,72,41
526.8112488,0,26,20,1,72,41
508.4029999,0,26,21,1,72,41
488.6279984,0,26,22,1,72,41
500.8272476,0,26,23,1,72,41
487.1184998,0,27,0,1,73,45
474.7427521,0,27,1,1,73,45
491.8250046,0,27,2,1,73,45
478.2162476,0,27,3,1,73,45
482.2817535,0,27,4,1,73,45
476.2062531,0,27,5,1,73,45
487.4467468,0,27,6,1,73,45
483.029747,0,27,7,1,73,45
486.0425034,0,27,8,1,73,45
485.4942551,0,27,9,1,73,45
505.2869949,0,27,10,1,73,45
522.4485168,0,27,11,1,73,45
513.8159943,0,27,12,1,73,45
521.1357498,0,27,13,1,73,45
519.5612411,0,27,14,1,73,45
520.0672379,0,27,15,1,73,45
525.556488,0,27,16,1,73,45
535.6504974,0,27,17,1,73,45
521.508255,0,27,18,1,73,45
